"gene"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"
"RP11-138A9.2"	2.94246111538092e-13	-0.608860811136543	0.034	0.192	8.32598797208186e-09	"12"
"CCDC12"	2.98332180425754e-13	-0.281105063445148	0.068	0.251	8.44160737732715e-09	"12"
"ZNF292"	3.01146385273588e-13	-0.549885364671431	0.028	0.183	8.52123811770145e-09	"12"
"WHSC1L1"	3.34896282979401e-13	-0.284078520338404	0.065	0.247	9.47622522318514e-09	"12"
"MPHOSPH8"	3.44676271664232e-13	-0.292936383768652	0.107	0.31	9.75295978301112e-09	"12"
"DNAJA1"	3.75487073477172e-13	-0.321678198484166	0.085	0.277	1.06247822311101e-08	"12"
"FTH1"	3.75929608566551e-13	0.36863050963141	0.958	0.978	1.06373042039991e-08	"12"
"G3BP2"	3.85266592175099e-13	-0.449302137316612	0.051	0.219	1.09015034921866e-08	"12"
"KHDRBS1"	4.40824555917354e-13	-0.38605084372067	0.068	0.248	1.24735716342374e-08	"12"
"IQGAP1"	4.54230389412923e-13	-0.486154866572137	0.031	0.185	1.28529030988281e-08	"12"
"RTN4"	5.45538199796763e-13	-0.471786148921411	0.037	0.195	1.54365489014492e-08	"12"
"NEMF"	5.61021554633151e-13	-0.481330676573338	0.04	0.199	1.58746659098996e-08	"12"
"BBX"	6.06771404700775e-13	-0.436666403734666	0.073	0.253	1.71692036674131e-08	"12"
"MDM4"	6.47729533018577e-13	-0.263458313268314	0.065	0.243	1.83281548662936e-08	"12"
"RAB11FIP1"	7.27281078885059e-13	-0.428537746753111	0.042	0.204	2.05791454081316e-08	"12"
"BOD1L1"	7.61321011367903e-13	-0.398692559240671	0.031	0.184	2.15423393376662e-08	"12"
"DDX39B"	7.62985696477909e-13	-0.61419692759601	0.008	0.143	2.15894432675389e-08	"12"
"ATF6B"	7.66860017650151e-13	-0.615420173528753	0.037	0.191	2.16990710594287e-08	"12"
"IER2"	7.90881015535418e-13	-0.542873829975237	0.071	0.246	2.23787692155902e-08	"12"
"TMEM165"	8.00381883657865e-13	-0.450080856789679	0.04	0.199	2.26476057799829e-08	"12"
"SRSF1"	1.03122111326387e-12	-0.564706197060192	0.04	0.193	2.91794326209145e-08	"12"
"NCOA3"	1.05953712385301e-12	-0.409135563970785	0.045	0.208	2.99806624565447e-08	"12"
"FNIP1"	1.07845537425271e-12	-0.525311696840069	0.034	0.187	3.05159732698547e-08	"12"
"CD22"	1.09749353643931e-12	-0.433025773708126	0.062	0.235	3.10546771070868e-08	"12"
"LINC00926"	1.10100422297555e-12	-0.385366849673224	0.093	0.283	3.11540154933163e-08	"12"
"PIK3IP1"	1.1063132907571e-12	-0.297604216291695	0.073	0.254	3.13042408752628e-08	"12"
"ZNF706"	1.12989661863632e-12	-0.296897150740771	0.079	0.262	3.19715547209334e-08	"12"
"CHD2"	1.14401189306379e-12	-0.449296204113482	0.037	0.192	3.23709605261331e-08	"12"
"TTC3"	1.18900920464913e-12	-0.370055597868418	0.059	0.23	3.36442044547518e-08	"12"
"SLTM"	1.23227286763736e-12	-0.464556078714093	0.048	0.211	3.48683930626667e-08	"12"
"RPL39"	1.28623593649119e-12	0.321606054642334	0.983	0.987	3.63953320589546e-08	"12"
"MIS18BP1"	1.43402146358081e-12	-0.365540591130364	0.04	0.198	4.05770713334826e-08	"12"
"PPP1R2"	1.46157986040394e-12	-0.335624282305475	0.099	0.294	4.135686372999e-08	"12"
"FNBP4"	1.48197173317735e-12	-0.395617841824783	0.056	0.223	4.19338721619862e-08	"12"
"SNHG7"	1.61046481512325e-12	-0.29189813535132	0.082	0.268	4.55697124087273e-08	"12"
"RNPS1"	1.67139256644814e-12	-0.30403086476403	0.079	0.262	4.72937240602165e-08	"12"
"TAX1BP1"	1.7653886432708e-12	-0.28246162075851	0.065	0.237	4.99534370499905e-08	"12"
"ZNF791"	2.23290412497751e-12	-0.481326986690487	0.031	0.18	6.31822551203637e-08	"12"
"ZFAND5"	2.30869268726851e-12	-0.489740684622098	0.025	0.169	6.53267682789496e-08	"12"
"ASH1L"	2.34618624150018e-12	-0.398893865402889	0.054	0.217	6.6387685889489e-08	"12"
"PDE7A"	2.71484200449568e-12	-0.505191092718882	0.042	0.198	7.68191693592097e-08	"12"
"HSPA5"	2.89333219619977e-12	-0.370413963324117	0.04	0.192	8.18697278236687e-08	"12"
"AFF4"	2.95593458304553e-12	-0.542766225267123	0.017	0.152	8.36411249618563e-08	"12"
"TAOK3"	3.05167621076597e-12	-0.469269542299191	0.034	0.183	8.63502300598339e-08	"12"
"SELM"	3.06665298738837e-12	-0.393577673490371	0.037	0.188	8.67740129311413e-08	"12"
"PSIP1"	3.13535338619333e-12	-0.382040823888611	0.059	0.225	8.87179594157266e-08	"12"
"RP5-1171I10.5"	3.16481191117617e-12	-0.530010362487179	0.017	0.154	8.95515178386408e-08	"12"
"LINC-PINT"	3.39117198916e-12	-0.433288788903915	0.034	0.183	9.59566026052712e-08	"12"
"ZNF207"	3.73807382960391e-12	-0.33089540765959	0.071	0.244	1.05772537082472e-07	"12"
"ZMYM2"	3.76148028486783e-12	-0.593160241694113	0.023	0.161	1.0643484614062e-07	"12"
"HSPD1"	3.93177845725332e-12	-0.295273766923239	0.079	0.257	1.1125360322644e-07	"12"
"GRN"	4.02941717931382e-12	-0.404169163438899	0.071	0.241	1.14016388505864e-07	"12"
"MED10"	4.2198964093118e-12	-0.252504705583164	0.051	0.211	1.19406188797887e-07	"12"
"SRSF10"	4.34770313071637e-12	-0.357995623191038	0.068	0.237	1.23022607786751e-07	"12"
"SLC38A1"	5.08383098731022e-12	-0.35856175777095	0.034	0.182	1.4385208161693e-07	"12"
"BLNK"	5.71379949975392e-12	-0.357639569041469	0.048	0.203	1.61677670645037e-07	"12"
"CYBB"	5.73283203465619e-12	-0.375769360790168	0.059	0.225	1.62216215252632e-07	"12"
"NACA"	5.92332947422808e-12	0.534973446704754	0.816	0.908	1.67606530802758e-07	"12"
"SMG1"	5.98773373246287e-12	-0.513637503967826	0.025	0.165	1.69428913693769e-07	"12"
"ARHGAP15"	6.0401372956181e-12	-0.317052260578313	0.079	0.253	1.7091172491681e-07	"12"
"MIDN"	6.67818807543272e-12	-0.386268967642599	0.054	0.212	1.88966009782444e-07	"12"
"BCAP31"	7.11148572726742e-12	-0.372962636192619	0.045	0.199	2.01226600138759e-07	"12"
"CELF1"	7.14168676386946e-12	-0.516716735508567	0.023	0.159	2.0208116867045e-07	"12"
"AIM1"	7.27694371866912e-12	-0.570205980518226	0.02	0.153	2.05908399463461e-07	"12"
"GOLGB1"	7.63047157794577e-12	-0.295443784722536	0.023	0.161	2.15911823769553e-07	"12"
"RPLP0"	8.39813680750533e-12	0.521955723506665	0.833	0.925	2.37633679105171e-07	"12"
"FOS"	8.41627217114397e-12	-0.43835697882311	0.251	0.498	2.3814683735469e-07	"12"
